sim,variable,unit,quarter,h,diff
Sim4,INV,%,0009Q4,16,0.05042303469171827
Sim4,INV,%,0010Q1,17,0.024677645617316557
Sim4,INV,%,0010Q2,18,0.00010927303506491626
Sim4,INV,%,0010Q3,19,-0.023161639316640503
Sim4,INV,%,0010Q4,20,-0.04508818078633681
Sim4,EX,%,0006Q1,1,1.1409608487581409
Sim4,EX,%,0006Q2,2,1.3676095409516904
Sim4,EX,%,0006Q3,3,1.3305620094687498
Sim4,EX,%,0006Q4,4,1.241407364475407
Sim4,EX,%,0007Q1,5,1.1620068997137736
Sim4,EX,%,0007Q2,6,1.102105216721455
Sim4,EX,%,0007Q3,7,1.059489806751813
Sim4,EX,%,0007Q4,8,1.0296689902117038
Sim4,EX,%,0008Q1,9,1.00870004523766
Sim4,EX,%,0008Q2,10,0.993656988207519
Sim4,EX,%,0008Q3,11,0.9825294626854912
Sim4,EX,%,0008Q4,12,0.9739753206286821
Sim4,EX,%,0009Q1,13,0.9671184676771247
Sim4,EX,%,0009Q2,14,0.9613907543978115
Sim4,EX,%,0009Q3,15,0.956426985040352
Sim4,EX,%,0009Q4,16,0.9519929178524222
Sim4,EX,%,0010Q1,17,0.9479390768045022
Sim4,EX,%,0010Q2,18,0.9441707745071426
Sim4,EX,%,0010Q3,19,0.9406286027735007
Sim4,EX,%,0010Q4,20,0.9372755760413582
Sim4,IM,%,0006Q1,1,0.03933284337924192
Sim4,IM,%,0006Q2,2,0.07817440716915769
Sim4,IM,%,0006Q3,3,-0.11313587231748556
Sim4,IM,%,0006Q4,4,-0.37904028301170456
Sim4,IM,%,0007Q1,5,-0.6693723285323898
Sim4,IM,%,0007Q2,6,-0.9588121964641942
Sim4,IM,%,0007Q3,7,-1.0050066344971782
Sim4,IM,%,0007Q4,8,-1.0409061159446509
Sim4,IM,%,0008Q1,9,-1.0731095340215404
Sim4,IM,%,0008Q2,10,-1.1051320617662697
Sim4,IM,%,0008Q3,11,-1.1377308198185716
Sim4,IM,%,0008Q4,12,-1.1708255266980387
Sim4,IM,%,0009Q1,13,-1.203774970569782
Sim4,IM,%,0009Q2,14,-1.2358894680690895
Sim4,IM,%,0009Q3,15,-1.2667356656428552
Sim4,IM,%,0009Q4,16,-1.2961368507795896
Sim4,IM,%,0010Q1,17,-1.32404898397931
Sim4,IM,%,0010Q2,18,-1.3491990219469017
Sim4,IM,%,0010Q3,19,-1.370939547079061
Sim4,IM,%,0010Q4,20,-1.3892576453791747
Sim4,CPIXFOR,%,0006Q1,1,0.06053619012276101
Sim4,CPIXFOR,%,0006Q2,2,0.09824495333516836
Sim4,CPIXFOR,%,0006Q3,3,0.13397532714903093
Sim4,CPIXFOR,%,0006Q4,4,0.1647047109663049
Sim4,CPIXFOR,%,0007Q1,5,0.1807899054253994
Sim4,CPIXFOR,%,0007Q2,6,0.20166068777409407
Sim4,CPIXFOR,%,0007Q3,7,0.2216361122508772
Sim4,CPIXFOR,%,0007Q4,8,0.2445655707961123
Sim4,CPIXFOR,%,0008Q1,9,0.2695297305234732
Sim4,CPIXFOR,%,0008Q2,10,0.29741054356429686
Sim4,CPIXFOR,%,0008Q3,11,0.32330637110764826
Sim4,CPIXFOR,%,0008Q4,12,0.35073360831370337
Sim4,CPIXFOR,%,0009Q1,13,0.3789921828873304
Sim4,CPIXFOR,%,0009Q2,14,0.40893371230301057
Sim4,CPIXFOR,%,0009Q3,15,0.4361882929789118
Sim4,CPIXFOR,%,0009Q4,16,0.4640582932168513
Sim4,CPIXFOR,%,0010Q1,17,0.49199962274329323
Sim4,CPIXFOR,%,0010Q2,18,0.52085954105263
Sim4,CPIXFOR,%,0010Q3,19,0.5467474861623032
Sim4,CPIXFOR,%,0010Q4,20,0.5727179588924258
Sim5,CALL,pp,0006Q1,1,0.9999999999999883
Sim5,CALL,pp,0006Q2,2,0.8812877246780018
Sim5,CALL,pp,0006Q3,3,0.7786792735604193
Sim5,CALL,pp,0006Q4,4,0.6843105371833573
Sim5,CALL,pp,0007Q1,5,0.599588617285715
Sim5,CALL,pp,0007Q2,6,0.5247834078924946
Sim5,CALL,pp,0007Q3,7,0.4559858327657589
Sim5,CALL,pp,0007Q4,8,0.3939093677446179
Sim5,CALL,pp,0008Q1,9,0.337682837815496
Sim5,CALL,pp,0008Q2,10,0.287159143023099
Sim5,CALL,pp,0008Q3,11,0.24187022838720068
Sim5,CALL,pp,0008Q4,12,0.20149573504426327
Sim5,CALL,pp,0009Q1,13,0.16569501438616474
Sim5,CALL,pp,0009Q2,14,0.13412535019680255
